Age,Gender,Education,Department,JobRole,Shift,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,MonthlyIncome,HourlyRate,OverTime,DistanceFromHome,PerformanceRating,TrainingTimesLastYear,Attrition
60,Female,1,Doctors,Surgeon,Rotating,2.7,1.4,2,2,3,2,17434.48,108.97,Yes,2.0,3,2,No
50,Female,4,Doctors,Surgeon,Night,9.0,8.9,2,1,3,3,22478.13,140.49,Yes,8.4,3,4,Yes
36,Female,4,Support,Maintenance,Rotating,3.6,3.4,2,3,3,3,3720.37,23.25,No,27.5,3,4,No
64,Male,4,Admin,HR Specialist,Day,6.6,6.4,4,4,2,2,6769.76,42.31,No,18.3,3,1,Yes
29,Female,4,Nursing,Head Nurse,Night,0.1,0.0,4,4,2,4,5437.15,33.98,Yes,14.4,4,0,No
42,Male,3,Support,Food Service,Night,3.1,2.9,2,1,3,3,2785.09,17.41,No,14.4,4,4,Yes
60,Female,3,Technical,Medical Tech,Day,11.6,6.1,1,4,1,4,7005.92,43.79,No,7.5,3,2,Yes
40,Female,3,Nursing,Nurse Practitioner,Day,1.3,0.4,2,4,3,1,8001.47,50.01,Yes,1.9,4,2,Yes
44,Female,1,Admin,Receptionist,Day,0.2,0.1,1,2,3,2,2681.84,16.76,No,3.4,4,2,Yes
32,Male,3,Admin,Admin Staff,Night,2.8,1.9,1,1,2,3,3684.44,23.03,No,8.6,4,1,Yes
32,Female,4,Nursing,Head Nurse,Day,6.1,2.3,2,4,1,3,6818.38,42.61,Yes,3.8,4,1,No
45,Male,3,Support,Food Service,Night,3.0,2.0,1,3,1,3,2450.95,15.32,No,15.2,3,0,Yes
57,Male,3,Admin,Receptionist,Day,3.1,2.7,4,4,1,4,3763.89,23.52,Yes,4.7,3,2,No
61,Male,2,Technical,Pharmacy Tech,Night,5.5,3.1,1,3,1,3,4727.94,29.55,No,1.2,4,3,No
45,Female,3,Nursing,Head Nurse,Night,1.5,0.8,2,2,1,3,8514.49,53.22,No,15.3,3,1,Yes
24,Male,3,Admin,HR Specialist,Night,7.0,3.7,1,2,1,4,7087.35,44.3,No,12.0,3,2,Yes
43,Male,4,Nursing,Head Nurse,Night,0.8,0.8,3,4,2,3,7653.01,47.83,No,2.9,3,3,No
23,Female,2,Technical,Medical Tech,Night,2.5,0.8,1,2,2,2,4856.86,30.36,No,39.7,4,5,Yes
45,Male,4,Doctors,Specialist,Day,5.3,3.3,3,1,4,3,15604.03,97.53,Yes,5.2,3,0,Yes
65,Female,3,Doctors,Surgeon,Rotating,8.8,4.3,3,3,4,3,21969.17,137.31,Yes,11.4,3,0,Yes
51,Male,4,Nursing,Nurse Practitioner,Day,7.8,7.3,4,2,1,2,8479.04,52.99,No,24.1,3,1,Yes
59,Male,3,Nursing,Clinical Nurse,Day,6.4,2.3,3,2,1,2,7052.64,44.08,No,1.7,2,2,No
23,Female,3,Nursing,Nurse,Night,2.2,1.3,1,3,2,2,4050.38,25.31,No,21.1,2,0,Yes
42,Male,3,Nursing,Clinical Nurse,Day,0.7,0.4,1,2,1,1,5886.98,36.79,No,12.2,4,4,Yes
54,Female,4,Doctors,Surgeon,Rotating,1.2,1.1,3,2,3,4,20384.4,127.4,Yes,1.8,4,0,Yes
33,Female,5,Doctors,Surgeon,Day,10.0,4.5,2,1,2,2,25990.76,162.44,No,10.9,4,1,No
43,Female,1,Doctors,Resident,Night,9.7,7.3,2,3,2,2,7679.04,47.99,No,20.8,3,1,No
65,Female,1,Admin,Receptionist,Day,15.1,6.0,4,1,4,3,4356.78,27.23,No,16.0,3,1,No
46,Male,5,Nursing,Head Nurse,Day,0.4,0.4,4,2,4,3,8394.73,52.47,No,14.3,4,4,Yes
48,Male,3,Nursing,Head Nurse,Day,3.8,2.8,4,3,4,3,5922.08,37.01,Yes,1.8,4,0,Yes
63,Female,3,Nursing,Clinical Nurse,Rotating,5.2,3.9,4,2,2,2,4708.01,29.43,No,2.1,4,1,Yes
49,Female,3,Technical,Pharmacy Tech,Rotating,6.2,3.7,3,1,4,4,5041.9,31.51,No,7.9,3,0,No
37,Female,1,Doctors,Resident,Night,5.2,2.8,3,3,3,3,6860.19,42.88,Yes,8.7,3,0,Yes
36,Female,4,Nursing,Clinical Nurse,Rotating,7.3,3.3,2,2,3,3,5161.01,32.26,No,28.8,4,2,Yes
65,Female,4,Nursing,Nurse Practitioner,Night,2.2,1.6,4,2,4,4,6591.09,41.19,No,6.3,3,3,Yes
24,Female,2,Technical,Pharmacy Tech,Rotating,1.0,1.0,2,3,4,2,3722.08,23.26,Yes,3.6,3,4,Yes
58,Male,2,Technical,Lab Technician,Rotating,1.1,0.6,3,3,3,4,4837.43,30.23,Yes,2.1,4,3,Yes
28,Female,4,Doctors,Resident,Day,0.1,0.1,2,3,2,3,6262.71,39.14,Yes,1.0,4,3,Yes
42,Female,1,Admin,Receptionist,Night,2.2,0.9,1,3,2,4,3823.17,23.89,No,1.0,3,3,No
30,Male,4,Nursing,Head Nurse,Night,0.5,0.5,3,2,3,2,6434.05,40.21,No,8.5,3,3,Yes
60,Female,2,Support,Janitor,Day,1.9,1.1,2,3,4,4,2990.98,18.69,No,1.9,4,0,Yes
39,Female,3,Technical,Medical Tech,Day,4.9,2.8,3,2,3,3,5508.39,34.43,Yes,19.1,3,1,No
25,Female,5,Nursing,Nurse Practitioner,Rotating,11.2,7.0,3,1,2,3,10160.73,63.5,No,9.1,4,2,Yes
46,Male,3,Technical,Lab Technician,Rotating,9.2,7.3,3,3,2,3,4661.53,29.13,Yes,20.0,4,2,No
35,Male,3,Technical,Lab Technician,Rotating,1.5,1.2,1,2,1,4,3460.27,21.63,No,5.6,4,0,No
30,Female,3,Nursing,Head Nurse,Rotating,0.7,0.5,2,3,4,3,8398.15,52.49,No,9.1,3,1,Yes
47,Female,2,Admin,Admin Staff,Rotating,1.1,0.7,4,2,1,3,4354.61,27.22,No,7.5,2,2,Yes
23,Male,2,Nursing,Clinical Nurse,Day,17.7,5.7,2,2,3,4,6471.75,40.45,Yes,43.2,2,1,Yes
41,Male,5,Nursing,Nurse Practitioner,Day,4.0,2.0,2,4,4,2,10360.2,64.75,No,15.9,3,1,Yes
49,Female,4,Technical,Lab Technician,Day,1.0,0.5,3,2,2,2,3877.57,24.23,Yes,9.0,3,3,Yes
28,Male,3,Nursing,Nurse,Day,9.2,6.3,4,3,4,4,5441.26,34.01,No,9.3,3,3,Yes
65,Female,3,Technical,Medical Tech,Day,2.5,1.7,3,1,4,1,5936.55,37.1,Yes,2.9,3,2,No
29,Female,1,Support,Security,Night,11.5,9.1,1,1,1,4,3755.34,23.47,Yes,13.3,3,2,Yes
56,Male,1,Nursing,Head Nurse,Rotating,1.5,1.2,4,1,2,3,6443.55,40.27,No,40.6,3,3,No
35,Female,3,Admin,Receptionist,Rotating,2.5,1.2,4,2,3,3,3165.76,19.79,No,1.4,3,2,Yes
38,Male,4,Technical,Medical Tech,Night,3.5,2.9,3,4,2,2,5313.16,33.21,No,10.1,2,2,No
57,Male,3,Technical,Radiology Tech,Rotating,11.2,3.5,2,4,3,4,5797.59,36.23,Yes,7.3,4,3,Yes
61,Female,4,Technical,Pharmacy Tech,Night,10.2,8.1,3,3,3,4,4378.4,27.37,Yes,19.0,3,1,Yes
25,Male,1,Nursing,Nurse Practitioner,Rotating,4.3,1.6,2,4,1,3,10253.74,64.09,No,1.0,2,6,No
23,Female,3,Admin,HR Specialist,Night,1.3,1.0,3,3,2,2,5005.41,31.28,No,1.5,1,0,Yes
27,Female,2,Doctors,Resident,Day,2.6,1.7,4,2,1,2,5368.71,33.55,Yes,1.0,2,0,Yes
